File ID	Sample Type	Tpm_val
8e510682-b05c-4792-a149-d713db6d082d	Primary Tumor	0.3002
b817c1a8-7e62-423e-b7e0-eb9136fe0455	Primary Tumor	225.8566
62cdda72-a90e-49e7-9423-24540d696049	Primary Tumor	189.8373
dc782ae2-13ec-4fcd-bae7-cafa8280d5ee	Solid Tissue Normal	170.3772
06a639d9-ade5-4cbb-91b0-a41449ce4f49	Primary Tumor	210.4482
3f441cc8-98bd-4650-b5ad-19ae8542b666	Solid Tissue Normal	104.0723
eeacf4ac-09cf-41a8-8066-c38a173e61b4	Primary Tumor	173.5476
71ac888b-0acc-4cfd-a21a-4c9ff8d06bf9	Primary Tumor	82.8186
9c7f6057-8225-4447-adb3-aed12aa974ad	Solid Tissue Normal	145.852
7cb19688-bac4-41bf-b69e-977ac0da0aa1	Primary Tumor	49.4897
505bfb1f-dc96-4f7e-ba2c-8e20eb0e1f6c	Primary Tumor	223.6473
975121d2-ba5d-4b2c-bd50-278311c7144a	Primary Tumor	134.2733
ef2621f5-ec61-42ee-879f-9d7615372a5e	Primary Tumor	11.8711
a8252e2f-1dbd-4f3c-9e11-599a33d6fd24	Solid Tissue Normal	172.7254
8a2d17e2-4ec1-42b6-8825-6d80ffe4b916	Primary Tumor	85.5367
b06a3383-3a16-4f91-91c4-71cad60dae4b	Primary Tumor	178.5021
49453e81-56b8-43b7-b56f-6195038a1142	Primary Tumor	197.8869
7181e057-0ec7-410b-b0fe-ff8de3d14d98	Primary Tumor	448.3325
ace52699-f049-4a11-ab3d-ce3719c62e41	Primary Tumor	207.8288
c69e8ef1-57a7-439a-9b05-66f14b019322	Primary Tumor	60.9561
03680aea-84a2-4775-bb9c-24f8c5907247	Primary Tumor	6.2758
b91d8293-6331-4f76-98f0-335ebce83539	Primary Tumor	108.8333
3c421a7f-8bde-4b4b-90e5-cf0ea11274ab	Primary Tumor	265.6636
aab3583f-37ca-4f2f-8428-aa8eda2c2274	Solid Tissue Normal	134.928
3d08a99f-46c1-4e06-a042-521a54ebbe1e	Primary Tumor	4.8766
2f6e63bb-17bd-4b53-8666-45c7159aa1f4	Primary Tumor	170.5327
6ac6539b-76a3-4b1c-8da3-6d621308454a	Primary Tumor	142.8242
7c802f6c-03bd-4612-835f-c82f6b8f2137	Primary Tumor	244.7247
074b0792-df3c-4b59-9f50-793bc14bcb81	Primary Tumor	12.9809
25f44be3-2e4f-4121-ac23-21bd3866dbce	Primary Tumor	43.1144
765f26d4-120a-459d-90c7-74a8532b407c	Primary Tumor	96.1991
4297f902-2495-48fb-af36-31e61f727215	Primary Tumor	274.4467
4c2a4d47-67dd-4c12-8f3b-1c55eb6fd00e	Primary Tumor	441.9669
8148f34c-1ddd-454a-8761-8b76e97e8534	Primary Tumor	8.9386
7429ab01-a223-4be3-9b41-99100ea06d99	Primary Tumor	2.2599
7a26df49-5d12-4dc2-b686-07e015a415b0	Primary Tumor	311.9432
9db8b103-5f3a-439b-993c-14879744c30a	Primary Tumor	124.9448
24079217-3899-4843-81fc-638293771d93	Solid Tissue Normal	123.8099
aabb1f03-8a4e-4d38-b09e-d9b56b5b921c	Primary Tumor	285.2625
0d1f21df-73b3-4dd0-9ad4-fd5c7a5d2424	Solid Tissue Normal	175.559
359d07bf-89e3-49fd-8237-723ffb299cfb	Solid Tissue Normal	132.1163
736227d9-3cee-40ed-bdec-0e88968ef179	Primary Tumor	311.0943
e21fc8e8-1f42-4c08-a54b-0bcc0f70d816	Primary Tumor	21.0927
2e0c7cfb-2794-4c86-b43e-8215c39186d8	Primary Tumor	141.2844
f2d6b758-501e-447a-a3d0-f899e532ac84	Primary Tumor	54.1643
458042ad-bec8-4433-80da-70f517a440f7	Primary Tumor	147.9915
88885dc7-5edd-4fac-95f8-9586880078a8	Primary Tumor	136.0362
81152340-ffac-4122-8b21-bef3a474a18e	Solid Tissue Normal	88.4901
269a7c8d-f4d6-4f1a-a85b-874934f214b9	Primary Tumor	229.5268
0f01f50f-495a-455d-986d-28c65e345a80	Primary Tumor	287.1157
a777fb14-4498-4f32-bccb-1e8521567302	Primary Tumor	99.8502
f6582ef5-5f6d-41d7-850a-614257c9e3b2	Primary Tumor	114.7283
dc8e99bb-f021-44e4-8c60-213405ee156a	Primary Tumor	147.029
d4778869-f3f2-481b-ab02-65a654128766	Solid Tissue Normal	101.3486
